FVC,Predicted_LST,Temperature_Reduction_degC,Water_Index,Relative_Desalination_Energy,Relative_Cooling_Benefit,NEGI
0.05,31.85647,14.553495,10.0,40.0,145.53496,105.53495788574219
0.1,31.85647,14.553495,20.0,80.0,145.53496,65.53495788574219
0.15,31.85647,14.553495,30.0,120.0,145.53496,25.534957885742188
0.2,31.887775,14.52219,40.0,160.0,145.2219,-14.778106689453125
0.25,31.887775,14.52219,50.0,200.0,145.2219,-54.778106689453125
0.3,31.995283,14.414682,60.0,240.0,144.14682,-95.85317993164062
0.35,32.19554,14.214424,70.0,280.0,142.14424,-137.8557586669922
0.4,31.078026,15.33194,80.0,320.0,153.3194,-166.68060302734375
0.45,37.37935,9.030617,90.0,360.0,90.30617,-269.69383239746094
0.5,46.79777,-0.38780594,100.0,400.0,-3.8780594,-403.87805938720703
